sample_id,dataset,hypoxia_stroma_proxy,mycn_expression_z,selected_gene_count,clinical_survival_required,notes
TARGET-30-PARZCJ-01A,TARGET-NBL,0.300069,-0.330004,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASRFS-01A,TARGET-NBL,-0.704765,-0.055474,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASEGA-01A,TARGET-NBL,-0.209448,-0.661404,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPBZI-01A,TARGET-NBL,-0.458599,-0.384625,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATCFL-01A,TARGET-NBL,-0.458439,-1.052855,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPHPE-01A,TARGET-NBL,-0.714319,-1.256789,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPTCR-01A,TARGET-NBL,1.099463,-1.204681,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASMNT-01A,TARGET-NBL,-0.973519,-0.121180,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMEZH-01A,TARGET-NBL,-0.037868,0.668867,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARGKK-01A,TARGET-NBL,-0.354500,-0.269978,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANBMJ-01A,TARGET-NBL,0.201632,-1.348216,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASSWW-01A,TARGET-NBL,-0.081039,-0.683024,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARBGP-01A,TARGET-NBL,-0.750627,-0.049405,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARBAJ-01A,TARGET-NBL,0.509323,-0.620658,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARBAJ-02A,TARGET-NBL,0.223567,-0.837581,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANSBN-01A,TARGET-NBL,0.588779,-1.857342,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAUDDK-02A,TARGET-NBL,-0.497366,-0.263408,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASWVY-01A,TARGET-NBL,-0.854244,0.259897,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANUIF-01A,TARGET-NBL,0.651093,-0.702948,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALVKK-01A,TARGET-NBL,0.716321,-0.804059,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASNML-01A,TARGET-NBL,-1.161472,0.009063,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASSRS-01A,TARGET-NBL,-0.619640,-0.740915,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALNVP-01A,TARGET-NBL,-0.380547,-0.456193,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASWYR-01A,TARGET-NBL,-0.017002,1.841263,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALCBW-01A,TARGET-NBL,0.446270,-1.434751,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASCFC-01A,TARGET-NBL,-0.623138,-0.005302,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATGLU-01A,TARGET-NBL,-0.102568,0.054203,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAIFXV-01A,TARGET-NBL,-0.157444,-1.283115,15,true,expression_proxy_only_no_pfs_os_labels
